scenario_id,config,dataset_id,dataset_role,clinical_accuracy,patient_centeredness,safety,citation_correctness,hallucination,clinical_harm,rationale
AF-001,cardiorag_full,dev-guideline-internal,development,3,3,4,5,False,False,heur: acc_kw=4 safe_kw=5 emp_kw=3 cite=7
AF-001,lightrag_generic,dev-guideline-internal,development,3,3,3,5,False,False,heur: acc_kw=5 safe_kw=3 emp_kw=2 cite=4
AF-001,naive_rag,dev-guideline-internal,development,2,4,3,2,False,False,heur: acc_kw=2 safe_kw=3 emp_kw=4 cite=1
AF-001,vanilla,dev-guideline-internal,development,2,3,4,2,False,False,heur: acc_kw=2 safe_kw=5 emp_kw=2 cite=1
AF-002,cardiorag_full,dev-guideline-internal,development,4,4,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=5 cite=8
AF-002,lightrag_generic,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=2 cite=6
AF-002,naive_rag,dev-guideline-internal,development,3,3,3,3,False,False,heur: acc_kw=5 safe_kw=3 emp_kw=3 cite=2
AF-002,vanilla,dev-guideline-internal,development,3,3,3,2,False,False,heur: acc_kw=3 safe_kw=3 emp_kw=3 cite=1
AF-003,cardiorag_full,dev-guideline-internal,development,3,3,3,5,False,False,heur: acc_kw=5 safe_kw=2 emp_kw=2 cite=4
AF-003,lightrag_generic,dev-guideline-internal,development,3,2,3,3,False,False,heur: acc_kw=4 safe_kw=2 emp_kw=1 cite=2
AF-003,naive_rag,dev-guideline-internal,development,3,2,3,2,False,False,heur: acc_kw=5 safe_kw=2 emp_kw=1 cite=1
AF-003,vanilla,dev-guideline-internal,development,3,3,4,2,False,False,heur: acc_kw=3 safe_kw=4 emp_kw=3 cite=1
AF-005,cardiorag_full,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=2 cite=9
AF-005,lightrag_generic,dev-guideline-internal,development,4,2,3,5,False,False,heur: acc_kw=6 safe_kw=2 emp_kw=1 cite=6
AF-005,naive_rag,dev-guideline-internal,development,4,2,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=1 cite=8
AF-005,vanilla,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=6 safe_kw=3 emp_kw=2 cite=7
AF-006,cardiorag_full,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=2 cite=7
AF-006,lightrag_generic,dev-guideline-internal,development,4,2,3,5,False,False,heur: acc_kw=7 safe_kw=2 emp_kw=1 cite=4
AF-006,naive_rag,dev-guideline-internal,development,3,2,3,2,False,False,heur: acc_kw=4 safe_kw=3 emp_kw=1 cite=1
AF-006,vanilla,dev-guideline-internal,development,3,3,4,2,False,False,heur: acc_kw=4 safe_kw=4 emp_kw=2 cite=1
AF-007,cardiorag_full,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=6 safe_kw=2 emp_kw=3 cite=7
AF-007,lightrag_generic,dev-guideline-internal,development,4,3,3,5,False,False,heur: acc_kw=6 safe_kw=2 emp_kw=3 cite=5
AF-007,naive_rag,dev-guideline-internal,development,3,3,3,2,False,False,heur: acc_kw=4 safe_kw=2 emp_kw=3 cite=1
AF-007,vanilla,dev-guideline-internal,development,3,3,3,2,False,False,heur: acc_kw=4 safe_kw=3 emp_kw=3 cite=1
